Date,NIPPON INDIA LARGE CAP FUND,ICICI PRUDENTIAL LARGE CAP FUND,INVESCO MID CAP FUND,MOTILAL OSWAL MID CAP FUND,HDFC SMALL CAP FUND,BANDHAN SMALL CAP FUND
1/2/2023,55.4536,70.07,90.5,50.6953,80.545,21.42
1/3/2023,55.542,70.2,90.45,50.8827,80.745,21.541
1/4/2023,54.9097,69.6,89.62,50.3679,80.064,21.351
1/5/2023,54.8724,69.53,89.84,50.2635,79.897,21.291
1/6/2023,54.6212,69.11,89.21,49.8929,79.723,21.128
1/9/2023,55.2822,69.94,89.8,50.5986,80.042,21.291
1/10/2023,54.89,69.33,89.32,50.3771,79.808,21.246
1/11/2023,54.9345,69.34,88.81,50.5049,79.726,21.27
1/12/2023,54.8658,69.29,88.77,50.5842,79.636,21.269
1/13/2023,55.0367,69.57,88.72,50.8537,79.787,21.282
1/16/2023,54.8238,69.27,88.32,50.5872,79.763,21.2
1/17/2023,55.1426,69.79,88.16,50.6924,79.515,21.18
1/18/2023,55.4788,70.23,88.33,50.7324,79.598,21.164
1/19/2023,55.4433,70.15,88.49,50.761,79.69,21.129
1/20/2023,55.2821,69.8,87.82,50.7045,79.364,20.997
1/23/2023,55.5613,69.94,88.24,50.4454,79.282,20.957
1/24/2023,55.5296,69.82,87.87,50.2605,79.144,20.898
1/25/2023,54.6656,69.12,87.31,49.8226,78.536,20.788
1/27/2023,53.8991,68.22,86.26,49.6086,77.086,20.549
1/30/2023,53.9723,68.27,86.52,49.5233,77.239,20.451
1/31/2023,54.3151,68.51,87.59,50.1046,79.159,20.906
2/1/2023,54.3943,68.24,87.47,50.0918,78.541,20.734
2/2/2023,54.4309,68.44,87.78,50.4413,78.91,20.727
2/3/2023,54.9968,69.09,87.87,50.478,79.173,20.783
2/6/2023,54.8948,68.86,88.1,50.4103,79.575,20.897
2/7/2023,54.7257,68.59,87.74,50.486,79.66,20.805
2/8/2023,55.0905,69.01,88.4,50.5102,80.208,20.893
2/9/2023,55.1672,69.1,88.48,50.4846,80.208,20.867
2/10/2023,55.1218,68.99,88.7,51.3189,80.561,21.071
2/13/2023,54.8568,68.63,87.71,50.854,79.818,20.86
2/14/2023,55.1849,69.03,87.29,50.3694,79.697,20.723
2/15/2023,55.4233,69.42,87.58,50.1227,79.762,20.81
2/16/2023,55.461,69.51,88.4,50.4292,80.57,20.923
2/17/2023,55.2408,69.3,87.98,50.0905,80.631,20.833
2/20/2023,55.0447,69.09,88.08,50.0488,81.035,20.867
2/21/2023,55.0214,68.99,87.62,50.0814,80.588,20.863
2/22/2023,54.226,68.12,86.85,49.7324,79.476,20.679
2/23/2023,54.2607,67.97,86.76,49.6929,79.998,20.769
2/24/2023,54.0826,67.85,86.25,50.1502,79.497,20.609
2/27/2023,53.8192,67.63,85.71,50.2356,78.609,20.401
2/28/2023,53.6383,67.27,85.93,50.4379,78.718,20.404
3/1/2023,54.0989,67.76,86.83,50.9359,79.819,20.583
3/2/2023,53.794,67.3,86.53,50.8002,79.98,20.574
3/3/2023,54.5341,68.1,87.08,50.6041,80.83,20.655
3/6/2023,54.8455,68.44,87.56,50.8667,81.662,20.789
3/8/2023,55.1219,68.59,87.64,51.073,81.863,20.933
3/9/2023,54.7717,68.08,87.06,50.6979,81.712,20.883
3/10/2023,54.2781,67.51,86.62,50.5006,81.072,20.792
3/13/2023,53.4159,66.62,85.33,49.8286,79.647,20.485
3/14/2023,53.1893,66.47,84.59,49.679,79.264,20.332
3/15/2023,52.957,66.17,84.52,49.6505,79.466,20.406
3/16/2023,53.0447,66.23,84.38,49.4353,78.881,20.258
3/17/2023,53.3825,66.66,84.99,49.5702,79.268,20.332
3/20/2023,52.9604,66.28,84.16,49.209,78.642,20.102
3/21/2023,53.4031,66.89,84.46,49.2218,79.157,20.232
3/22/2023,53.5221,67.05,84.85,49.3461,79.751,20.337
3/23/2023,53.3089,66.79,84.57,49.1396,79.615,20.329
3/24/2023,52.842,66.26,83.68,48.6041,78.884,20.11
3/27/2023,52.7631,66.33,83.3,48.3183,77.963,19.898
3/28/2023,52.6916,66.1,83.23,48.2543,77.778,19.797
3/29/2023,53.1709,66.51,84.54,49.0597,78.849,19.998
3/31/2023,53.9927,67.53,85.45,49.3921,79.644,20.233
4/3/2023,54.1156,67.83,85.46,48.9587,80.187,20.434
4/5/2023,54.5492,68.31,85.8,48.9597,80.627,20.611
4/6/2023,54.6955,68.38,86.15,49.2532,81.152,20.647
4/10/2023,54.7556,68.53,86.47,49.2612,80.957,20.669
4/11/2023,54.9122,68.8,86.94,49.5949,81.202,20.802
4/12/2023,55.1351,69.07,87.57,50.0189,81.244,20.906
4/13/2023,55.1708,69,87.61,50.1345,81.245,20.903
4/17/2023,54.9843,68.47,88.02,50.4307,81.349,20.869
4/18/2023,54.9264,68.39,88.63,50.7716,81.487,20.805
4/19/2023,54.8223,68.2,88.41,50.6495,81.388,20.744
4/20/2023,54.8935,68.28,88.19,50.5632,81.465,20.85
4/21/2023,54.8633,68.01,88.01,50.2669,81.511,20.946
4/24/2023,55.2405,68.43,88.23,50.384,81.837,21.047
4/25/2023,55.3689,68.52,88.27,50.2264,82.068,21.056
4/26/2023,55.6148,68.69,88.57,50.4585,82.204,21.079
4/27/2023,55.9279,69.04,89.26,50.7459,82.531,21.109
4/28/2023,56.5025,69.58,90.16,51.4269,83.391,21.31
5/2/2023,56.8361,70,90.71,51.5686,84.032,21.468
5/3/2023,56.7996,69.73,90.89,51.5296,84.529,21.464
5/4/2023,57.2746,70.18,91.47,51.9247,85.158,21.658
5/5/2023,56.8551,69.85,91.38,51.8832,84.535,21.603
5/8/2023,57.5905,70.53,92.02,52.1805,85.135,21.754
5/9/2023,57.549,70.58,92.04,52.2231,84.574,21.686
5/10/2023,57.7236,70.75,92.05,52.3372,85.37,21.741
5/11/2023,57.7497,70.57,92.44,52.7292,85.959,21.82
5/12/2023,57.8039,70.49,92.25,52.6654,85.981,21.838
5/15/2023,58.1437,70.85,92.63,52.7853,86.526,22.018
5/16/2023,58.025,70.62,92.91,53.0535,87.072,21.995
5/17/2023,57.8647,70.28,92.72,53.215,87.19,21.992
5/18/2023,57.8294,70.12,92.53,53.2157,86.791,22.062
5/19/2023,57.9212,70.4,92.56,53.4009,87.042,22.067
5/22/2023,57.9372,70.64,93.01,54.003,87.464,22.191
5/23/2023,57.972,70.68,93.29,53.8973,87.35,22.129
5/24/2023,57.8843,70.53,93.42,54.4458,87.144,22.053
5/25/2023,58.0686,70.66,93.81,54.9582,87.377,22.152
5/26/2023,58.6834,71.32,94.32,55.5731,88.161,22.28
5/29/2023,58.9288,71.64,94.45,55.4087,88.295,22.355
5/30/2023,59.1501,71.77,94.7,55.2888,88.459,22.456
5/31/2023,59.049,71.51,95.43,55.8573,89.036,22.532
6/1/2023,59.0016,71.33,95.37,55.9591,89.47,22.664
6/2/2023,59.2294,71.66,95.81,56.4622,89.662,22.863
6/5/2023,59.4837,72.07,95.85,56.5808,90.051,22.923
6/6/2023,59.5744,72.19,95.95,56.3938,90.438,23.033
6/7/2023,60.0903,72.71,97.14,56.9977,91.351,23.228
6/8/2023,59.8054,72.45,96.5,56.7079,90.924,23.17
6/9/2023,59.6638,72.33,96.47,56.6571,91.117,23.147
6/12/2023,59.8254,72.52,96.93,57.0105,91.51,23.273
6/13/2023,60.2878,72.96,98.09,57.2253,91.968,23.414
6/14/2023,60.3523,73.07,98.4,56.8452,92.28,23.497
6/15/2023,60.1116,72.86,98.61,57.2859,92.626,23.66
6/16/2023,60.6159,73.37,99.49,57.5672,92.866,23.767
6/19/2023,60.4369,73.01,99.62,57.4714,93.154,23.843
6/20/2023,60.7188,73.33,99.55,57.829,93.22,23.927
6/21/2023,60.7625,73.51,99.64,58.3295,93.348,23.964
6/22/2023,60.3043,73.24,99.05,58.1509,92.565,23.773
6/23/2023,59.8822,72.78,98.14,57.477,91.758,23.631
6/26/2023,60.0168,72.97,98.8,57.8245,92.498,23.734
6/27/2023,60.4628,73.46,99.16,57.9276,93.322,23.941
6/28/2023,60.9766,73.98,99.5,57.9882,93.436,24.055
6/30/2023,61.643,74.78,99.97,58.2323,93.764,24.145
7/3/2023,62.0641,75.12,99.93,58.14,94.591,24.286
7/4/2023,62.1275,75.12,99.9,58.0649,95.302,24.342
7/5/2023,62.253,75.4,100.31,58.0925,95.726,24.374
7/6/2023,62.5778,75.78,101,58.3906,96.39,24.571
7/7/2023,62.2245,75.28,100.55,58.2125,96.121,24.457
7/10/2023,62.2389,75.37,100.2,57.6541,95.93,24.457
7/11/2023,62.643,75.78,100.96,58.1058,96.459,24.641
7/12/2023,62.6786,75.63,101.45,58.4487,96.581,24.761
7/13/2023,62.5905,75.76,101.24,58.5583,95.908,24.651
7/14/2023,63.042,76.28,102.06,59.2376,97.256,24.865
7/17/2023,63.5268,76.67,102.45,59.2871,97.996,24.998
7/18/2023,63.5042,76.88,102.24,59.055,97.489,24.911
7/19/2023,63.9237,77.11,102.9,59.1369,98.044,25.028
7/20/2023,64.3298,77.58,102.99,58.7742,98.078,25.048
7/21/2023,63.9177,76.98,102.43,58.3187,98.316,25.076
7/24/2023,63.8456,76.84,102.2,58.526,98.618,25.189
7/25/2023,63.9752,76.92,102.46,58.3248,98.881,25.241
7/26/2023,64.2152,77.52,102.13,58.5962,98.769,25.182
7/27/2023,63.9899,77.33,102.07,58.6455,98.94,25.233
7/28/2023,64.1783,77.38,102.59,59.02,99.35,25.424
7/31/2023,64.5698,77.86,103.55,59.1978,100.635,25.644
8/1/2023,64.5949,77.77,103.69,59.5614,100.784,25.745
8/2/2023,63.7462,77.02,102.72,58.8652,99.595,25.469
8/3/2023,63.4133,76.55,102.46,58.7273,99.297,25.547
8/4/2023,63.8836,77.05,103.15,59.9182,99.454,25.585
8/7/2023,64.0478,77.36,103.35,60.0708,98.907,25.726
8/8/2023,64.0538,77.37,103.48,59.8685,99.358,25.917
8/9/2023,64.4424,77.61,103.84,59.793,100.037,26.025
8/10/2023,64.3175,77.38,103.73,59.7377,99.769,25.969
8/11/2023,64.1156,76.98,103.64,59.6402,100.108,26
8/14/2023,63.9109,77.05,103.21,59.4241,99.29,25.936
8/16/2023,64.0787,77.3,103.3,59.2535,99.595,25.935
8/17/2023,63.8778,76.91,103.51,58.9051,99.865,26.006
8/18/2023,63.7438,76.67,103.23,58.7613,100.353,26.036
8/21/2023,64.0595,76.97,104.08,59.051,101.109,26.264
8/22/2023,64.3266,77.06,104.8,59.516,101.791,26.518
8/23/2023,64.6564,77.36,105.32,59.866,102.368,26.713
8/24/2023,64.5796,77.18,105.53,60.3102,102.203,26.686
8/25/2023,64.004,76.7,104.56,60.1583,102.014,26.619
8/28/2023,64.1967,77.03,105.06,60.001,102.406,26.759
8/29/2023,64.3529,77.14,105.35,60.6779,102.938,26.877
8/30/2023,64.6096,77.2,106.23,61.7853,103.524,26.987
8/31/2023,64.4494,77.07,106.63,62.5032,104.106,27.105
9/1/2023,65.03,77.73,107.17,63.369,104.31,27.284
9/4/2023,65.3451,78.22,107.54,63.9422,105.227,27.494
9/5/2023,65.4924,78.33,108.54,64.4104,105.354,27.583
