date,Nifty 500
2025-09-30,22734.1
2025-09-29,22739.1
2025-09-26,22713.15
2025-09-25,23022.4
2025-09-24,23178.25
2025-09-23,23325.25
2025-09-22,23381.45
2025-09-19,23486.65
2025-09-18,23518.9
2025-09-17,23445.2
2025-09-16,23369.3
2025-09-15,23215.85
2025-09-12,23190.25
2025-09-11,23102.65
2025-09-10,23074.15
2025-09-09,22949.1
2025-09-08,22878.65
2025-09-05,22829.15
2025-09-04,22819.65
2025-09-03,22864.65
2025-09-02,22724.4
2025-09-01,22713.55
2025-08-29,22462.95
2025-08-28,22541.65
2025-08-26,22768.65
2025-08-25,23052.0
2025-08-22,22991.3
2025-08-21,23137.15
2025-08-20,23143.15
2025-08-19,23066.6
2025-08-18,22931.5
2025-08-14,22680.25
2025-08-13,22698.1
2025-08-12,22568.6
2025-08-11,22633.45
2025-08-08,22443.15
2025-08-07,22694.1
2025-08-06,22666.85
2025-08-05,22798.5
2025-08-04,22860.4
2025-08-01,22673.65
2025-07-31,22914.95
2025-07-30,23033.55
2025-07-29,23007.35
2025-07-28,22846.95
2025-07-25,23014.8
2025-07-24,23301.1
2025-07-23,23428.4
2025-07-22,23320.9
2025-07-21,23378.45
2025-07-18,23275.15
2025-07-17,23419.7
2025-07-16,23472.5
2025-07-15,23449.15
2025-07-14,23309.05
2025-07-11,23282.7
2025-07-10,23471.4
2025-07-09,23557.45
2025-07-08,23572.55
2025-07-07,23551.2
2025-07-04,23562.45
2025-07-03,23521.85
2025-07-02,23547.25
2025-07-01,23615.45
2025-06-30,23617.2
2025-06-27,23620.15
2025-06-26,23517.55
2025-06-25,23296.85
2025-06-24,23113.2
2025-06-23,23001.5
2025-06-20,23041.1
2025-06-19,22763.5
2025-06-18,22925.2
2025-06-17,22981.5
2025-06-16,23095.05
2025-06-13,22906.2
2025-06-12,23046.45
2025-06-11,23337.85
2025-06-10,23339.95
2025-06-09,23330.55
2025-06-06,23165.1
2025-06-05,22934.5
2025-06-04,22807.85
2025-06-03,22711.3
2025-06-02,22834.5
2025-05-30,22801.95
2025-05-29,22861.35
2025-05-28,22779.4
2025-05-27,22816.5
